video_id,video_title,n_comentarios,n_autores_unicos,likes_totales,respuestas_totales,channel_name,view_count,category
n8iP75gIpmw,Qué rico come tu diputado,161,128,358,3,Quorum,11775,News & Politics
j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,50,49,91,0,Quorum,10156,News & Politics
6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,45,32,90,11,Gobierno de la República de Guatemala,11670,Entertainment
lj983NWyAQY,Plan 2032 Ciudad de Guatemala,25,25,1697,16,Municipalidad de Guatemala,304089,News & Politics
PjmxCj-a9Hg,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,25,19,20,4,Gobierno de la República de Guatemala,3628,Entertainment
OkXlHx0hx-8,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,25,18,25,13,Noticias Telemundo,14200,News & Politics
yLZS3JiEBg8,Arroz con pollo a la MONOPOLIO,16,16,13,0,Quorum,1954,News & Politics
06mFNPU0aB8,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,14,13,12,1,Noti7,6692,News & Politics
ndAZjHqzzT8,Internet: escoger el menos malo,12,10,3,1,Quorum,717,News & Politics
is3Mk5oC19g,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,7,7,0,1,TN23 Guatemala,4616,News & Politics
b_Hkrkl3adA,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,7,7,1,1,PrensaLibreOficial,5469,News & Politics
WIUZtitfLRw,Caminar en una ciudad hecha para carros,6,6,1,0,Quorum,422,News & Politics
TT4qJ5FXHYE,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",4,4,8,0,Quorum,1075,News & Politics
JkpVO1hx2f8,10 Preguntas a un año del Paro Nacional,3,3,4,0,Quorum,673,News & Politics
3Nfp9h5avBI,"Noticiero en Directo 1 pm, 28 de Agosto de 2026",2,2,0,0,Noticiero Guatevisión 13 Hrs.,573,News & Politics
X_FAIef8qlE,Cruzando la ciudad a puro Transmetro,1,1,0,0,Quorum,1140,News & Politics
UhL9y3KUl8E,SHAI WA: la vecina queer de Casa Presidencial,1,1,2,0,Quorum,1755,News & Politics
s0eco-BofOs,¿Quiénes pagan más en Centroamérica?,1,1,0,0,Quorum,220,News & Politics
zweosulrwA8,Edén por Salud: empleo inclusivo para personas con discapacidad en Antigua | Super - Episodio 2,1,1,0,0,Quorum,52,Nonprofits & Activism
