source,target,weight
06mFNPU0aB8,UC2ngpd8UBQu4gcUYy0goAtg,1
06mFNPU0aB8,UCAxvOOHQk7dYPOajzFEVtbA,2
06mFNPU0aB8,UCIXLDYqR_syskKRJy_x9W9Q,1
06mFNPU0aB8,UCLXYp1Cvc5DLtq5UQL5D9vw,1
06mFNPU0aB8,UCO0zwwLWGyDgQmWPJ5Qrr1w,1
06mFNPU0aB8,UCXN2s7DwTJm33xO-pNkAdaA,1
06mFNPU0aB8,UC_3xuTXvMIWU5MYP9HkJ3vQ,1
06mFNPU0aB8,UCfXykdbSU97rj987LDUGfvg,1
06mFNPU0aB8,UCfjhejO7LZy4doXURa7LZCQ,1
06mFNPU0aB8,UCjZgFEowMBrsjodqfovzdKw,1
06mFNPU0aB8,UCq3mDTTRZnUybct5M9OSXbg,1
06mFNPU0aB8,UCvl1tzQeBeGy6efPTRJXSCw,1
06mFNPU0aB8,UCwCfs-2zbD5k0lG-UVg_JBw,1
3Nfp9h5avBI,UCJxJC56BSAX-ArD0NAb9qnQ,1
3Nfp9h5avBI,UCyor0Mmm0ivLX2jIdyGp84Q,1
6W4u8sGEnGM,UC-HeUTT6_g-VoiWds2a4H-w,1
6W4u8sGEnGM,UC-Iul5tDYH_oiAMXQH-KaaQ,1
6W4u8sGEnGM,UC0HvfEWozTHbwl_iEmJNvVA,1
6W4u8sGEnGM,UC14qlobYKqD-DO0j6b75lcA,1
6W4u8sGEnGM,UC1NiEdJ7gk6FlDexIalWnGg,1
6W4u8sGEnGM,UC3YpzAr7pcdKC7BVFEpYzog,1
6W4u8sGEnGM,UC63tFvbQ_hJhGDi2nbjssjw,1
6W4u8sGEnGM,UCEHXl4VvvVpq-_4xC5tsbhg,1
6W4u8sGEnGM,UCFybmWapGvBKcQod7cPPH9w,1
6W4u8sGEnGM,UCRfkkatKrNtAARnXMMYBGlA,1
6W4u8sGEnGM,UCV3fr-YOixFKCZBbJP1-X4w,5
6W4u8sGEnGM,UCWaRixDdpgllTBf4V0jPnKQ,2
6W4u8sGEnGM,UCWvntqPQx99k_Z_skWKqNSA,1
6W4u8sGEnGM,UCZFQwqh90apuL8eFhvRBkUg,1
6W4u8sGEnGM,UCa36MjQLoPAmgJo-R3G8WQA,1
6W4u8sGEnGM,UCaT4saRcyqCLE657Rq2hhZQ,1
6W4u8sGEnGM,UCeQk-WfEA-cJRq4EKeE7TOw,1
6W4u8sGEnGM,UCfo_yUPzy1f1POwwZxhZ06Q,1
6W4u8sGEnGM,UCgGqw4aqMdMVSGkKiMgrJRQ,1
6W4u8sGEnGM,UCheEJ5GZuIvV0fj-nXyVwXw,1
6W4u8sGEnGM,UChyps3dqY-VY1_wLeq-2lhw,1
6W4u8sGEnGM,UCiOZX__1gahg1ypIj0_XG_w,1
6W4u8sGEnGM,UCjZgFEowMBrsjodqfovzdKw,1
6W4u8sGEnGM,UCoGdCoJg2Lh0OX_jv6cG16g,2
6W4u8sGEnGM,UCp29O_C7cchZV8IxV7Crdag,2
6W4u8sGEnGM,UCql1n3Ey6ULMSOACjMe-fxQ,1
6W4u8sGEnGM,UCtCtts20bW6F9CSohau51Iw,2
6W4u8sGEnGM,UCtsxPYw8VUsH_FfnKg-0lmw,1
6W4u8sGEnGM,UCvDwJBBY1mHK70aTEYl6rsA,1
6W4u8sGEnGM,UCwxoKK59nGCeBqB2sXfDBIw,1
6W4u8sGEnGM,UCyJhqmMbsvjpoarBBStA2kg,6
6W4u8sGEnGM,UCzZ6dDCEsLMXbc5pCFXIprw,1
JkpVO1hx2f8,UCHGd14aYuZZShLD73dkk6mg,1
JkpVO1hx2f8,UCQIdKuZ-OzuFqy0KjGrgesg,1
JkpVO1hx2f8,UCWWkebAekppaL5b5CNlppuw,1
OkXlHx0hx-8,UC-QOpE7GOxlXcHZ8b7HbQKA,2
