node_id,bipartite,label,channel_id,channel_name,category,view_count,n_comentarios,n_autores_unicos,n_comentarios_totales,n_videos_distintos,likes_recibidos
06mFNPU0aB8,video,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,UCVpSRoZgngfSL03Nlbjtq9A,Noti7,News & Politics,6692.0,14.0,13.0,,,
3Nfp9h5avBI,video,"Noticiero en Directo 1 pm, 28 de Agosto de 2026",UCdSVqHGHzyMTXSafUHY-e-w,Noticiero Guatevisión 13 Hrs.,News & Politics,573.0,2.0,2.0,,,
6W4u8sGEnGM,video,Inician los trabajos de recuperación del Puente Belice II.,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,11670.0,45.0,32.0,,,
JkpVO1hx2f8,video,10 Preguntas a un año del Paro Nacional,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,673.0,3.0,3.0,,,
OkXlHx0hx-8,video,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,UCRwA1NUcUnwsly35ikGhp0A,Noticias Telemundo,News & Politics,14200.0,25.0,18.0,,,
PjmxCj-a9Hg,video,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,3628.0,25.0,19.0,,,
TT4qJ5FXHYE,video,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,1075.0,4.0,4.0,,,
UhL9y3KUl8E,video,SHAI WA: la vecina queer de Casa Presidencial,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,1755.0,1.0,1.0,,,
WIUZtitfLRw,video,Caminar en una ciudad hecha para carros,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,422.0,6.0,6.0,,,
X_FAIef8qlE,video,Cruzando la ciudad a puro Transmetro,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,1140.0,1.0,1.0,,,
b_Hkrkl3adA,video,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,News & Politics,5469.0,7.0,7.0,,,
is3Mk5oC19g,video,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,UCt5Dw7ePnn0AqPqRF8Xpjkw,TN23 Guatemala,News & Politics,4616.0,7.0,7.0,,,
j43HgwYFKfk,video,La cooptación de Walter Mazariegos en la USAC,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,10156.0,50.0,49.0,,,
lj983NWyAQY,video,Plan 2032 Ciudad de Guatemala,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,News & Politics,304089.0,25.0,25.0,,,
n8iP75gIpmw,video,Qué rico come tu diputado,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,11775.0,161.0,128.0,,,
ndAZjHqzzT8,video,Internet: escoger el menos malo,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,717.0,12.0,10.0,,,
s0eco-BofOs,video,¿Quiénes pagan más en Centroamérica?,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,220.0,1.0,1.0,,,
yLZS3JiEBg8,video,Arroz con pollo a la MONOPOLIO,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,1954.0,16.0,16.0,,,
zweosulrwA8,video,Edén por Salud: empleo inclusivo para personas con discapacidad en Antigua | Super - Episodio 2,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,Nonprofits & Activism,52.0,1.0,1.0,,,
UC-HeUTT6_g-VoiWds2a4H-w,author,@JorgeMunoz-gd9et,,,,,,,1.0,1.0,0.0
UC-Iul5tDYH_oiAMXQH-KaaQ,author,@AlbertoMancilla-p9h,,,,,,,1.0,1.0,1.0
UC-QOpE7GOxlXcHZ8b7HbQKA,author,@mariaalexander427,,,,,,,2.0,1.0,0.0
UC-fiZBS5Gp1eCJd9ucgWnCg,author,@Tommii.10,,,,,,,1.0,1.0,6.0
UC-hfX8J5JPJ-dfuakzegMLA,author,@normaleticiaorozcojuarez2418,,,,,,,1.0,1.0,6.0
UC-jS_kA9w-OmpupXDx156Rg,author,@simoncreyesc7579,,,,,,,1.0,1.0,2.0
UC-pNP6RMFuLg_-x7Ah_0kEA,author,@almacatalan2717,,,,,,,1.0,1.0,5.0
UC094EFEmMSdwVa8NQjjYBXg,author,@CelestinoQuej-j7k,,,,,,,1.0,1.0,0.0
UC0HvfEWozTHbwl_iEmJNvVA,author,@OttoPalencia-b7r,,,,,,,1.0,1.0,3.0
UC0RpuMwkDKJYqgKHtsJRuWQ,author,@sabinamarinaguerra3248,,,,,,,1.0,1.0,113.0
UC0aEyakBPqcBkVJiErfSupQ,author,@jhonymanuel9891,,,,,,,1.0,1.0,70.0
UC14qlobYKqD-DO0j6b75lcA,author,@megavision4488,,,,,,,1.0,1.0,0.0
UC1DpqK6vaPEkBOMNvypsKYg,author,@HectorCarranza-u4j4o,,,,,,,1.0,1.0,0.0
UC1NiEdJ7gk6FlDexIalWnGg,author,@BorisTebalán,,,,,,,1.0,1.0,0.0
UC1WlJfQmaIskYhP4gmWoamw,author,@marthareiss5434,,,,,,,1.0,1.0,2.0
UC1Y7x3h0c95Z8kUhi-Tzaeg,author,@rosadiaz9235,,,,,,,1.0,1.0,0.0
UC1vr9aaMI2crB0NvwFHUeoQ,author,@JoseSimilox-p6e,,,,,,,1.0,1.0,0.0
UC2Y_EHWQKevubk4vOEBBFxw,author,@alfonsomorales2653,,,,,,,1.0,1.0,1.0
UC2ngpd8UBQu4gcUYy0goAtg,author,@juliohernandez7438,,,,,,,1.0,1.0,0.0
UC2weSE8rpqkGMOp6StYtVfg,author,@katerynsantiago2907,,,,,,,1.0,1.0,1.0
UC32oozucwCF3q8d4m8fyOUg,author,@RauldejesusOlivagonzalez,,,,,,,1.0,1.0,0.0
UC3E9mAgP7VoAE5mZoAexl5g,author,@EnnioAroche,,,,,,,1.0,1.0,0.0
UC3MYTqpQqlWBuCB7Th0e0PA,author,@isaaclopez7220,,,,,,,1.0,1.0,4.0
UC3NMzdMYryaw82kPTnsaljg,author,@marisosa7832,,,,,,,1.0,1.0,0.0
UC3UVO7pTbeYvZ3ILEyRDskQ,author,@rosaelenaargueta79,,,,,,,1.0,1.0,1.0
UC3XTwHxygNCgjndsg-UiCQA,author,@marioajset4283,,,,,,,3.0,1.0,2.0
UC3YpzAr7pcdKC7BVFEpYzog,author,@carmenfigueroa1232,,,,,,,1.0,1.0,4.0
UC3iIU62XKUOWuqL8BqBzj9A,author,@antonioduarte2288,,,,,,,1.0,1.0,0.0
UC3qn1yJA5PeW9rkGPatQxiw,author,@VICTOREST19,,,,,,,1.0,1.0,7.0
UC4Avya4kmR4Q0FrfFdBozSQ,author,@davidlima1348,,,,,,,1.0,1.0,11.0
UC4cXueR2bKGFJV0Fk76gwmA,author,@aluxdel4792,,,,,,,1.0,1.0,0.0
UC4kg7zuTfqQKLd2bkZrSYBA,author,@zoilagarcia9019,,,,,,,1.0,1.0,0.0
UC4wq3DcbfaG6dtCqn8Oyu3w,author,@hugoasencio7764,,,,,,,1.0,1.0,1.0
UC5H8ASmMC9WrURmzeB4ySog,author,@ManuelEdran,,,,,,,5.0,1.0,6.0
UC5PrBbmUlQolwqmiru7yZhw,author,@lazarochavez8269,,,,,,,1.0,1.0,0.0
UC5PyGvSfFM--OVKmQ3COu6g,author,@FreddyGmez,,,,,,,1.0,1.0,3.0
UC5bG9nc_JV3FsNP2KseQiYw,author,@giovannirodas4836,,,,,,,1.0,1.0,2.0
UC5fvhAfm89JH8eDFdvc0xYw,author,@isaidiaz2388,,,,,,,1.0,1.0,0.0
UC5hvEnRUzI4Kfvwnyi4QxqQ,author,@leonelsantizo5281,,,,,,,1.0,1.0,2.0
UC5wuDq3U3vRAhOQI3D7gNdw,author,@allanreneramirezgonzalez534,,,,,,,1.0,1.0,2.0
UC63tFvbQ_hJhGDi2nbjssjw,author,@AbigailRodas-w2r,,,,,,,1.0,1.0,2.0
UC650pRT-OYzny3GwOH8Cgfw,author,@edvinparedesherrera7632,,,,,,,1.0,1.0,1.0
UC6PvO1_k5lHKGdAPo5_C6TA,author,@johnmejia992,,,,,,,1.0,1.0,1.0
UC6Uj1FT5JjDSF8vudvDxPAA,author,@alfredoortega9264,,,,,,,1.0,1.0,1.0
UC6YSZqL0vEcI-niPKIMUGfw,author,@maxwellsales885,,,,,,,1.0,1.0,2.0
UC6xI_MOaxajIWpoP8BH6E_Q,author,@jahirdiaz5862,,,,,,,1.0,1.0,0.0
UC72gBAtyb_VXQlYDcFrh6oQ,author,@osmanmorales3012,,,,,,,3.0,1.0,19.0
UC7IMsCxfZyWN7YQo8-JYa6Q,author,@Burgos68,,,,,,,2.0,1.0,1.0
UC7VUuJr9cGh845CmTvf7TlQ,author,@LuisCastillo-oz4df,,,,,,,1.0,1.0,1.0
UC7dadZG7kkGYnsNu6td0FbA,author,@lesolorzano,,,,,,,1.0,1.0,18.0
UC816IGbFCZinfYS1LRDaaHg,author,@ingenieroar,,,,,,,1.0,1.0,1.0
UC8F2V63KZ4ZEay6opX2hAQw,author,@carmenr6311,,,,,,,1.0,1.0,0.0
UC8G5cJONY8L9voMyBW8Eoug,author,@luisparedes-pw6qt,,,,,,,1.0,1.0,0.0
UC8r11yOugM2NuRfitQOxLLg,author,@cesaraugustomoralesmonroy6907,,,,,,,1.0,1.0,1.0
UC8xlJWNHz1V_W6q3fbuQH8g,author,@NormaLópez-v7e,,,,,,,1.0,1.0,1.0
UC95PSMouTx2N5CbSq0hIyrQ,author,@lisss1908,,,,,,,1.0,1.0,0.0
UC9Wp6vL5oCU37qC3Aj94WZA,author,@ManuelSanchez-b8q2z,,,,,,,1.0,1.0,0.0
UC9vMq1YF-e7C-VO0SHkbUTA,author,@ErvinLeonardoCarreraLatín,,,,,,,4.0,1.0,0.0
UC9xr9QvIcDvoZNUX5f-jaZw,author,@MariaaliciaColonmorales,,,,,,,1.0,1.0,0.0
UCA93ym2TXs_Ibyxb4Vcn-6Q,author,@oswaldosolis8728,,,,,,,1.0,1.0,0.0
UCAKuKvcbfnBD3kF5njNu-IA,author,@melvinlopez7096,,,,,,,1.0,1.0,0.0
UCAV7QIjYhbDJaycQycM_0eQ,author,@mariavail8998,,,,,,,1.0,1.0,3.0
UCAlzM_N6xBlMYmM8EBzX86Q,author,@carlossoto3252,,,,,,,1.0,1.0,3.0
UCAmtbUiIrUIhikru0ZoTFig,author,@Aura-vf6dm,,,,,,,1.0,1.0,7.0
UCAxvOOHQk7dYPOajzFEVtbA,author,@ruddydepaz322,,,,,,,2.0,1.0,0.0
UCB5p8a5gklc80jJItP6xTHg,author,@ernestogamboa8737,,,,,,,1.0,1.0,6.0
UCBlm80VQ4YoV3bUJR_XhkaQ,author,@rosadiaz6945,,,,,,,2.0,1.0,0.0
UCBtB5dIyx-C16UN8ClUD2UA,author,@alexmonzon4257,,,,,,,1.0,1.0,0.0
UCCBYcToQ2dwkd6TJh0FSyDg,author,@lidiarodriguez3493,,,,,,,1.0,1.0,0.0
UCCUmP4PlbwgikVFpYwbtRTg,author,@alhvi,,,,,,,1.0,1.0,3.0
UCCaYwkkbQGcvFoUmothVdQQ,author,@OsvaldoAguirre-l3i,,,,,,,1.0,1.0,0.0
UCDIMztpVm7G27qBuiWuT6oQ,author,@lizardomorataya8274,,,,,,,1.0,1.0,0.0
UCDPWkUX3sNNaCx-m1dV4glA,author,@hectoroliva949,,,,,,,1.0,1.0,0.0
UCDQaQv0hr2SS_PO-CMEwVHg,author,@federicosaquimux1933,,,,,,,1.0,1.0,1.0
UCDUffaruH6dyUnUGwsTKpgg,author,@luisletona2842,,,,,,,1.0,1.0,2.0
UCDftMWXQoJ6nONfY7GVOVjg,author,@luisgpacheco5858,,,,,,,1.0,1.0,0.0
UCDlr1VadSucIZgZ171pRBjQ,author,@cuabatzjj5924,,,,,,,1.0,1.0,0.0
UCDrmf9y9nLgFY5wnA2hTuGA,author,@laboratorio5528,,,,,,,1.0,1.0,1.0
UCEHXl4VvvVpq-_4xC5tsbhg,author,@anibalg47,,,,,,,1.0,1.0,7.0
UCEgEQmRbtL5fwr9_DqAC--g,author,@ArielRodas-g5y,,,,,,,1.0,1.0,2.0
UCErZPJpHmLCsXs8ZWkAUupQ,author,@dorisl.garciaroche7763,,,,,,,1.0,1.0,2.0
UCFFrEmn6lPYiWyElpfzTy5Q,author,@denilsonlopez4083,,,,,,,1.0,1.0,0.0
UCFOxCyF926Y9eHhMeVoWLzw,author,@arielsarc09,,,,,,,1.0,1.0,3.0
UCFUuDARXdmmIrLppEqf-rFg,author,@allanmunoz7410,,,,,,,1.0,1.0,0.0
UCFhxtoeARHPnXXPcDrOU3Xg,author,@diegoalejandrolopezmendez205,,,,,,,1.0,1.0,2.0
UCFjudnPLoaSL1BaRuLahyHg,author,@HaroldoCastillo-rh9iw,,,,,,,3.0,1.0,3.0
UCFoIAE8k82D6AV-8gjjKaNg,author,@eddymunoz9789,,,,,,,1.0,1.0,1.0
UCFxE8GbokBrBsPEKM1xrOjQ,author,@JuanDavila-qd7qj,,,,,,,1.0,1.0,10.0
UCFybmWapGvBKcQod7cPPH9w,author,@vitalianochavez8382,,,,,,,1.0,1.0,1.0
UCGGHbtfbbe0o68etrOf0qxw,author,@karensussetteleonvargas9794,,,,,,,1.0,1.0,0.0
UCGX_UbAQOXGZknv5iqklwTA,author,@ronaldgarcia8522,,,,,,,1.0,1.0,1.0
UCGZMgmM92E3njyXNe9-kjAQ,author,@pasionpornada,,,,,,,1.0,1.0,2.0
UCGj2v6Gl5bN8NSrzJMXS-CA,author,@juliogutierrez492,,,,,,,1.0,1.0,0.0
UCGm3gRBEHGRJYmtCryZLtDw,author,@JoséLopez-g6k,,,,,,,1.0,1.0,0.0
UCGqKxQS-z3NZzZF-2w338AA,author,@samuelaguilar529,,,,,,,1.0,1.0,211.0
UCGzXwyCzMzGmjmCbH3Hg01Q,author,@FidelZacarias-ph7dy,,,,,,,1.0,1.0,2.0
UCHGd14aYuZZShLD73dkk6mg,author,@noemiherrera3152,,,,,,,1.0,1.0,0.0
UCHMQ_lDhibZ-XZ_3fo6oxwg,author,@crislexrubi4387,,,,,,,1.0,1.0,16.0
UCHTGCgY2l-DQJIvlA_cpa_Q,author,@virgiliogarcia3039,,,,,,,3.0,2.0,14.0
UCHbwIx9pmQuf7i-4_xO2EpA,author,@caminoseternos752,,,,,,,1.0,1.0,0.0
UCHhHUjaMAZ8SiXdCUCj9DkQ,author,@fredymendez1786,,,,,,,2.0,1.0,3.0
UCHu8x4MVkayU6VgwVKd--MQ,author,@Hernandez-i1o,,,,,,,1.0,1.0,1.0
UCIUhbSCy3-SGRe5UtqM4fzQ,author,@jeanmorales1677,,,,,,,1.0,1.0,1.0
UCIXLDYqR_syskKRJy_x9W9Q,author,@carlitosramirez4739,,,,,,,1.0,1.0,0.0
UCIgoiXdIKJyUGmUoH2Lxdzg,author,@susievidal4134,,,,,,,1.0,1.0,3.0
UCIp19h9igblA2YKfSLPDAug,author,@JoseReyes-rn6sh,,,,,,,1.0,1.0,14.0
UCJp3OrVYcBorC94sKwdch_A,author,@ULJoshmg2011,,,,,,,1.0,1.0,0.0
UCJxJC56BSAX-ArD0NAb9qnQ,author,@alfonsowilian9157,,,,,,,1.0,1.0,0.0
UCKDR0f2fu2UzWL8mBv5-BHw,author,@mireyamorales6595,,,,,,,1.0,1.0,0.0
UCKVzDUqbtdSMBcexaEtMmzQ,author,@rotorairgroup8409,,,,,,,1.0,1.0,0.0
UCL13XhnRzbGokEkCkEOb0-g,author,@raquelprado3643,,,,,,,2.0,1.0,8.0
UCL1MT278vSaQ83ZDkVWn1gw,author,@elmorodriguez6978,,,,,,,1.0,1.0,20.0
UCLFdHr9BEbXHkoJopbEPLZw,author,@kanterra4584,,,,,,,2.0,1.0,24.0
UCLXYp1Cvc5DLtq5UQL5D9vw,author,@jorgecifuentes-m5g,,,,,,,1.0,1.0,3.0
UCLggDc_a5HriXv7I1h02sOA,author,@guillermogonzalez5153,,,,,,,2.0,1.0,7.0
UCLh1Kde4_vI1sTZBkTNP7RQ,author,@JoelReynoso-d4r,,,,,,,1.0,1.0,0.0
UCN2N_wYOw6fMwCeSzdXLPIw,author,@danielantoniogonzalezflore4901,,,,,,,1.0,1.0,0.0
UCN6qbfPSzFtjhqUDZ3Cv3CQ,author,@carlosmedranovelasquez6380,,,,,,,1.0,1.0,2.0
UCNBnKqWf4d-rS4HwJRQljmQ,author,@LE_A22,,,,,,,2.0,1.0,1.0
UCNIeXbV_mEwpa412h1aqUWw,author,@juandeleon9060,,,,,,,3.0,1.0,3.0
UCNiMNUJvaRJb0_QLClqwVnA,author,@Santiago.Nolasco,,,,,,,1.0,1.0,2.0
UCNkcuy42zEwddwEcOd_HpnA,author,@vanigomez492,,,,,,,1.0,1.0,3.0
UCNpt5CQlTzNjlAKY6CJtClQ,author,@eustaquiogomez9975,,,,,,,1.0,1.0,0.0
UCO0zwwLWGyDgQmWPJ5Qrr1w,author,@elsalvador3605,,,,,,,1.0,1.0,3.0
UCOARn3hnfkB7-_Rwa8Hoqcw,author,@nicelol5241,,,,,,,1.0,1.0,0.0
UCOLGv5Pf6BF2wFcwUzgcvHg,author,@welfrealdana5559,,,,,,,2.0,1.0,4.0
UCOLHH4ZpMxPYF-Q6e6wvn5A,author,@luisroldan7374,,,,,,,1.0,1.0,2.0
UCOS8ViEkccrTZx2w2ccxotA,author,@OscarHernandez-q8y,,,,,,,1.0,1.0,4.0
UCOY3XpD9qMCRSA8AA8c4CAw,author,@franciscorodas9686,,,,,,,1.0,1.0,1.0
UCOcUI5XkTYNMSFhZNMIPpGg,author,@hendersonlopez3864,,,,,,,1.0,1.0,3.0
UCOh6DaZC_x9HASnlRylEMfw,author,@AndresMedina-v1s,,,,,,,1.0,1.0,0.0
UCPLW0HE3siElqCgXfgWxMqg,author,@elizabethmonterroso7719,,,,,,,1.0,1.0,0.0
UCPNXmbOBVeC4HS-xemvcPtQ,author,@BelkisRodriguezRamirez,,,,,,,1.0,1.0,2.0
UCPZueDLrCS4BmTBRMA4q0fA,author,@kevinochoa3695,,,,,,,1.0,1.0,1.0
UCQIdKuZ-OzuFqy0KjGrgesg,author,@lyacausa,,,,,,,1.0,1.0,1.0
UCQM2tCKRRytVDRxNUfCDqQQ,author,@elioelias7267,,,,,,,1.0,1.0,0.0
UCQMMuADgqWUOcJpLwHOzC-g,author,@Ripped-Yoda,,,,,,,1.0,1.0,0.0
UCQ_-LPP8JAbfkc-b1Q6NvWw,author,@MegaKristenstewart,,,,,,,2.0,1.0,31.0
UCQgYjVngJRfPHDLGB5X6ZjA,author,@oscarnavas9996,,,,,,,1.0,1.0,0.0
UCQqetiwzzmRNTM5OWuXarGQ,author,@isaiaslopezvelasquez1539,,,,,,,1.0,1.0,1.0
UCQqlPPUGqAfWjd-FSh_qn7Q,author,@estuardoargueta137,,,,,,,1.0,1.0,0.0
UCQtICyzWmhC5woCtbNgaSmg,author,@nestormendez6216,,,,,,,2.0,1.0,5.0
UCQtSFINs1h6GHkpg9o5kMvg,author,@MacarioMartinezruiz,,,,,,,1.0,1.0,12.0
UCQyOePccUP-fIJYzchAgZYw,author,@aguilar4254,,,,,,,1.0,1.0,0.0
UCRAquv8el-tQ30bN7MlmySQ,author,@iamjimalesssa,,,,,,,1.0,1.0,4.0
UCRETAiYdh2dL5ZxB0_N1zDA,author,@Joseroland21,,,,,,,1.0,1.0,0.0
UCRcSR3Lvn9DZAmJpVPANfZQ,author,@WalksandSuch,,,,,,,1.0,1.0,68.0
UCRelkU8JiZBytTzebJxaa-w,author,@danyraymundo2942,,,,,,,1.0,1.0,3.0
UCRfkkatKrNtAARnXMMYBGlA,author,@BernerSoza-mg3vx,,,,,,,1.0,1.0,0.0
UCRlCV9zSn7avAWh-9_XFWqQ,author,@ronyarana8849,,,,,,,1.0,1.0,1.0
UCRvPToDkkumha7WJAfCDk1A,author,@ligiaguerra3057,,,,,,,1.0,1.0,0.0
UCRznz9-N3Qc1w-qNdLSIY2Q,author,@jimmygomez724,,,,,,,1.0,1.0,14.0
UCSTAUWVc1_82DHYeqOsqEFA,author,@TheAlexX_C,,,,,,,1.0,1.0,191.0
UCSou6a2OuYGSvPjm5psquyA,author,@FranciscoRivera-sf7ne,,,,,,,1.0,1.0,0.0
UCTD6q1nyIe3Y7HhqjaMj72w,author,@JuanChang-r6k,,,,,,,1.0,1.0,8.0
UCTP3O0rMnc8z8v8jaDQwL0w,author,@RobertoZelaya-x1v,,,,,,,1.0,1.0,1.0
UCTTILH6QCIxbTnEWxwRqs1g,author,@3762Jorge,,,,,,,1.0,1.0,0.0
UCThW2XNsAaBKme5PUt7n-Zg,author,@thelmamoran8565,,,,,,,1.0,1.0,0.0
UCTwSut16JyAg3mX6LVUNGqA,author,@SuperVictor2005,,,,,,,1.0,1.0,0.0
UCTylKrsqkrBKIqubMu_5N0Q,author,@edwingeovanymarroquinmarro6684,,,,,,,1.0,1.0,1.0
UCUIIIPTVDVHAXqhC_5V6lPA,author,@gorrarota,,,,,,,1.0,1.0,0.0
UCUoYsrx1oZnCZ0usbBJn4fA,author,@AnaDiaz-re9sq,,,,,,,1.0,1.0,1.0
UCV0iizTBoOfdAFX_thfI9BA,author,@BenjaminLarios-jd8nk,,,,,,,1.0,1.0,0.0
UCV0lM03g5fg5pbPj97-sAtA,author,@genarodelgado3929,,,,,,,1.0,1.0,1.0
UCV3fr-YOixFKCZBbJP1-X4w,author,@albertoshernandez5251,,,,,,,5.0,1.0,17.0
UCVC2QugcI1G4RvlCiUqd1aQ,author,@rwdm76,,,,,,,2.0,1.0,0.0
UCVQf0tzL7xRzFJsABVVULpg,author,@DennisseLopetegi,,,,,,,1.0,1.0,0.0
UCVdjCrh4tQoX3haNAZv-n5A,author,@aurahernandez5646,,,,,,,1.0,1.0,3.0
UCVhif9eV0f8plICen2DnpKA,author,@blogarteplus,,,,,,,1.0,1.0,0.0
UCW-JC6lebVmf2P1dmY_L94g,author,@dinoraoroxon5771,,,,,,,1.0,1.0,0.0
UCW80DaMjQlEUibC98Cot-Dg,author,@rogeraldana4289,,,,,,,1.0,1.0,0.0
UCWIZUtKJ636y-4TYrNvok0g,author,@cesarandreas7824,,,,,,,1.0,1.0,5.0
UCWWkebAekppaL5b5CNlppuw,author,@ninettmartinez425,,,,,,,1.0,1.0,3.0
UCWaRixDdpgllTBf4V0jPnKQ,author,@hectormaaz5523,,,,,,,2.0,1.0,0.0
UCWoAVGVqCn4xtINCMOTM4jg,author,@OmarMartinez-vv8re,,,,,,,1.0,1.0,0.0
UCWvntqPQx99k_Z_skWKqNSA,author,@AntonioChiyal-x5s,,,,,,,1.0,1.0,2.0
UCXN2s7DwTJm33xO-pNkAdaA,author,@edithsan7688,,,,,,,1.0,1.0,0.0
UCXO1BBohNWXkK9SBDAG2ySg,author,@JBFlute92,,,,,,,1.0,1.0,0.0
UCXSkL3ejZ8qWYyF_M7s_QKA,author,@JacintaTzoy,,,,,,,1.0,1.0,0.0
UCXVLc8CmAO813ubM-fLvCDw,author,@herminiasaquimux7565,,,,,,,1.0,1.0,7.0
UCXXh7yg5KUFIWylTiKVEFKQ,author,@MrDuenderojo,,,,,,,2.0,1.0,2.0
UCXgr7vXlRrsaskPdo097kGA,author,@Rogergh-nw4oj,,,,,,,1.0,1.0,0.0
UCXl30Y_upRqbti52fmjK4YA,author,@capitanfrans,,,,,,,1.0,1.0,0.0
UCXmrpc6Li0spcKxtS0Q_ptg,author,@melvinperez6710,,,,,,,1.0,1.0,10.0
UCXr8_5WtGeipe4haOoQDgyQ,author,@amyherrera7352,,,,,,,1.0,1.0,0.0
UCY7Hq7F9Lnucf-Yr6JkHZNw,author,@maynorcalel1442,,,,,,,1.0,1.0,79.0
UCYN4wSQ1Sx4_LurxLlW7MPg,author,@belarminavillatoro6474,,,,,,,1.0,1.0,0.0
UCYwpX26TrCxq8TvbKGRYLXA,author,@beneficioelcaminovillacana8540,,,,,,,1.0,1.0,3.0
UCZ51R_9Q9C0c8I3pAWhtmjQ,author,@belvettzapeta1251,,,,,,,1.0,1.0,8.0
UCZFQwqh90apuL8eFhvRBkUg,author,@luisricardo9671,,,,,,,1.0,1.0,9.0
UCZIQnb1fkwe39Iw2TAu-bGA,author,@jorgegomez2237,,,,,,,1.0,1.0,1.0
UCZLG9qH0tUjNhEGFIUt0CYw,author,@SoniaMarroquin-y6e,,,,,,,1.0,1.0,1.0
UCZOmq6MwFDVoCaEl99BRRaw,author,@daniloarevalo3170,,,,,,,1.0,1.0,0.0
UCZeIIQrGAedW8tCbKWmGY-A,author,@mariocordon8873,,,,,,,1.0,1.0,9.0
UCZjm6U576nX8WOiLhmMR3bw,author,@MariaNavarroYT,,,,,,,1.0,1.0,3.0
UC_3xuTXvMIWU5MYP9HkJ3vQ,author,@Historia-wm4os,,,,,,,1.0,1.0,4.0
UC_6KbBY1bsYXz9fwFS0eQRg,author,@imrcp5694,,,,,,,1.0,1.0,0.0
UC_LYoGs5C3mbZKZuKuqYCvw,author,@javiercifuentesarchila6041,,,,,,,1.0,1.0,7.0
UC_NRVt2UP88ZNTwzrZ66JSg,author,@aditalissethevasquezrojas8039,,,,,,,1.0,1.0,2.0
UC_ljZ1hZXR9pzexFz87P5ZA,author,@ChRiStOpHeR7969,,,,,,,1.0,1.0,0.0
UCa36MjQLoPAmgJo-R3G8WQA,author,@elsasalguero6914,,,,,,,1.0,1.0,3.0
UCaKAjTW9MVub_clgr4DRYjQ,author,@josecastillo4390,,,,,,,1.0,1.0,6.0
UCaT4saRcyqCLE657Rq2hhZQ,author,@elmilenial4064,,,,,,,1.0,1.0,0.0
UCaT6M2zp7X6r6Whd8Vv3kHQ,author,@alexarcos8349,,,,,,,1.0,1.0,1.0
